city,Value
Atlanta,22.88
Baltimore,31.793333333333333
Boston,22.615384615384617
Chicago,28.408333333333335
Denver,22.266666666666666
Detroit,40.025
Fort Worth,30.73333333333333
Houston,31.380000000000003
Las Vegas,27.728571428571428
Long Beach,24.5
Los Angeles,20.685714285714287
Miami,26.775000000000002
Minneapolis,21.299999999999997
New York,23.195833333333336
Oakland,25.683333333333334
Philadelphia,32.875
Phoenix,27.17058823529412
San Antonio,33.86
San Diego,23.666666666666668
San Jose,22.857142857142858
Seattle,22.615384615384617
U.S. Total,37.9
Washington,22.286363636363635
